"subid","trial","item","state","positivity","utterance","judgment"
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",4,"film","1","it was ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",5,"presentation","3","it was ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",6,"song","0","it was ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",7,"cookie","0","it was ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",8,"dance","3","it was ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",9,"app","3","it wasn't ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",10,"monologue","1","it was ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",11,"monologue","1","it was ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",12,"monologue","1","it was ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",13,"cookie","0","it wasn't ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",14,"review","2","it was ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",15,"review","2","it was ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",16,"film","2","it wasn't ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",17,"recital","2","it wasn't ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",18,"poem","2","it wasn't ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",19,"song","0","it wasn't ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",20,"solo","0","it wasn't ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",21,"painting","1","it wasn't ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",22,"presentation","3","it wasn't ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",23,"cake","1","it wasn't ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",24,"cake","0","it was ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",25,"dance","3","it was ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",26,"solo","0","it wasn't ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",27,"painting","1","it wasn't ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",28,"poem","2","it was ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",29,"app","3","it wasn't ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",30,"recital","3","it wasn't ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",31,"song","0","it was ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",32,"recital","2","it was ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",33,"poem","2","it wasn't ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",34,"painting","1","it wasn't ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-30ZX6P7VF8VU40ENUWLW1KG1HY82JA.json",35,"cookie","3","it was ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",4,"song","2","it wasn't ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",5,"song","1","it was ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",6,"poem","2","it was ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",7,"cookie","0","it was ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",8,"monologue","3","it wasn't ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",9,"app","1","it was ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",10,"painting","3","it was ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",11,"film","0","it wasn't ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",12,"recital","1","it wasn't ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",13,"cookie","0","it wasn't ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",14,"solo","0","it wasn't ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",15,"dance","2","it was ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",16,"cookie","0","it was ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",17,"review","1","it wasn't ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",18,"app","1","it was ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",19,"recital","0","it was ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",20,"app","1","it was ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",21,"review","1","it wasn't ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",22,"dance","2","it wasn't ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",23,"film","0","it wasn't ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",24,"review","1","it wasn't ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",25,"cake","3","it wasn't ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",26,"solo","3","it was ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",27,"presentation","2","it was ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",28,"presentation","2","it was ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",29,"dance","2","it wasn't ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",30,"poem","3","it wasn't ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",31,"poem","2","it wasn't ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",32,"painting","3","it was ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",33,"solo","0","it was ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",34,"cake","3","it was ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-34BBWHLWHABKL5SOQYP3DQHQ8QIIW0.json",35,"monologue","3","it wasn't ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",4,"cake","1","it was ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",5,"recital","0","it wasn't ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",6,"dance","0","it was ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",7,"cake","1","it was ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",8,"presentation","2","it wasn't ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",9,"painting","3","it wasn't ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",10,"song","0","it was ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",11,"painting","3","it was ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",12,"review","3","it was ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",13,"presentation","2","it wasn't ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",14,"dance","0","it wasn't ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",15,"monologue","2","it was ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",16,"cookie","2","it was ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",17,"cookie","3","it wasn't ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",18,"monologue","2","it was ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",19,"film","1","it wasn't ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",20,"film","1","it wasn't ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",21,"app","3","it was ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",22,"review","0","it was ___","bad",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",23,"poem","1","it was ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",24,"recital","0","it wasn't ___","amazing",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",25,"film","1","it wasn't ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",26,"poem","2","it wasn't ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",27,"dance","0","it was ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",28,"song","1","it wasn't ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",29,"review","0","it wasn't ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",30,"presentation","2","it was ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",31,"solo","3","it wasn't ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",32,"cookie","2","it wasn't ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",33,"cake","1","it was ___","terrible",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",34,"solo","3","it wasn't ___","good",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-386PBUZZXFX05M0V4231GGFANYZLJI.json",35,"app","3","it was ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-3H0W84IWBK23X49GVLP65CBHOISERG.json",4,"song","1","it was ___","good",1
"3CO05SML7V51JUWSXCLPV3EP1K10RU-3H0W84IWBK23X49GVLP65CBHOISERG.json",5,"song","1","it was ___","terrible",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-3H0W84IWBK23X49GVLP65CBHOISERG.json",6,"review","2","it was ___","bad",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-3H0W84IWBK23X49GVLP65CBHOISERG.json",7,"solo","1","it was ___","amazing",0
"3CO05SML7V51JUWSXCLPV3EP1K10RU-3H0W84IWBK23X49GVLP65CBHOISERG.json",8,"film","3","it was ___","amazing",1
