"subid","trial","item","goal","true_state","positivity","utterance"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",1,"song","informative","heart3","no_neg","amazing"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",2,"painting","informative","heart2","no_neg","good"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",3,"cake","informative","heart0","no_neg","terrible"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",4,"film","informative","heart1","no_neg","bad"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",5,"recital","social","heart3","no_neg","amazing"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",6,"monologue","social","heart2","no_neg","amazing"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",7,"cookie","social","heart0","neg","bad"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",8,"dance","social","heart1","no_neg","good"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",9,"review","both","heart3","no_neg","amazing"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",10,"app","both","heart2","no_neg","good"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",11,"solo","both","heart0","neg","terrible"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30H4UDGLT2IGXFLEZR90DPGBWYIPM3.json",12,"presentation","both","heart1","neg","bad"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30LSNF239UVY9PUHCE0WPJ114F62ID.json",1,"app","social","heart3","no_neg","amazing"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30LSNF239UVY9PUHCE0WPJ114F62ID.json",2,"poem","social","heart2","no_neg","good"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30LSNF239UVY9PUHCE0WPJ114F62ID.json",3,"monologue","social","heart0","no_neg","good"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30LSNF239UVY9PUHCE0WPJ114F62ID.json",4,"recital","social","heart1","no_neg","good"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30LSNF239UVY9PUHCE0WPJ114F62ID.json",5,"solo","both","heart3","no_neg","amazing"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30LSNF239UVY9PUHCE0WPJ114F62ID.json",6,"dance","both","heart2","no_neg","good"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30LSNF239UVY9PUHCE0WPJ114F62ID.json",7,"presentation","both","heart0","neg","bad"
"3X7837UUADYFZHZURWSX2D2P458J6Z-30LSNF239UVY9PUHCE0WPJ114F62ID.json",8,"film","both","heart1","no_neg","good"
