"","state","utterance","subid","judgment"
"1",0,"not_amazing","1",1
"2",0,"not_amazing","2",1
"3",0,"not_amazing","3",1
"4",0,"not_amazing","4",1
"5",0,"not_amazing","5",1
"6",0,"not_amazing","6",1
"7",0,"not_amazing","7",1
"8",0,"not_amazing","8",1
"9",0,"not_amazing","9",1
"10",0,"not_amazing","10",1
"11",0,"not_amazing","11",1
"12",0,"not_amazing","12",1
"13",0,"not_amazing","13",1
"14",0,"not_amazing","14",1
"15",0,"not_amazing","15",1
"16",0,"not_amazing","16",1
"17",0,"not_amazing","17",1
"18",0,"not_amazing","18",1
"19",0,"not_amazing","19",1
"20",0,"not_amazing","20",1
"21",0,"not_amazing","21",1
"22",0,"not_amazing","22",1
"23",0,"not_amazing","23",1
"24",0,"not_amazing","24",1
"25",0,"not_amazing","25",1
"26",0,"not_amazing","26",1
"27",0,"not_amazing","27",0
"28",0,"not_amazing","28",1
"29",0,"not_amazing","29",1
"30",0,"not_amazing","30",1
"31",0,"not_amazing","31",1
"32",0,"not_amazing","32",1
"33",0,"not_amazing","33",1
"34",0,"not_amazing","34",1
"35",0,"not_amazing","35",1
"36",0,"not_amazing","36",1
"37",0,"not_amazing","37",1
"38",0,"not_amazing","38",1
"39",0,"not_amazing","39",1
"40",0,"not_amazing","40",1
"41",0,"not_amazing","41",0
"42",0,"not_amazing","42",1
"43",0,"not_amazing","43",1
"44",0,"not_amazing","44",1
"45",0,"not_amazing","45",1
"46",0,"not_amazing","46",1
"47",0,"not_amazing","47",1
"48",0,"not_amazing","48",1
"49",0,"not_amazing","49",1
"50",0,"not_amazing","50",1
"51",0,"not_amazing","51",1
"52",0,"not_bad","1",0
"53",0,"not_bad","2",0
"54",0,"not_bad","3",0
"55",0,"not_bad","4",0
"56",0,"not_bad","5",0
"57",0,"not_bad","6",0
"58",0,"not_bad","7",0
"59",0,"not_bad","8",0
"60",0,"not_bad","9",0
"61",0,"not_bad","10",1
"62",0,"not_bad","11",0
"63",0,"not_bad","12",0
"64",0,"not_bad","13",0
"65",0,"not_bad","14",0
"66",0,"not_bad","15",0
"67",0,"not_bad","16",0
"68",0,"not_bad","17",0
"69",0,"not_bad","18",0
"70",0,"not_bad","19",0
"71",0,"not_bad","20",0
"72",0,"not_bad","21",0
"73",0,"not_bad","22",0
"74",0,"not_bad","23",0
"75",0,"not_bad","24",0
"76",0,"not_bad","25",0
"77",0,"not_bad","26",0
"78",0,"not_bad","27",0
"79",0,"not_bad","28",0
"80",0,"not_bad","29",0
"81",0,"not_bad","30",0
"82",0,"not_bad","31",0
"83",0,"not_bad","32",0
"84",0,"not_bad","33",0
"85",0,"not_bad","34",0
"86",0,"not_bad","35",0
"87",0,"not_bad","36",0
"88",0,"not_bad","37",0
"89",0,"not_bad","38",0
"90",0,"not_bad","39",0
"91",0,"not_bad","40",0
"92",0,"not_bad","41",0
"93",0,"not_bad","42",0
"94",0,"not_bad","43",0
"95",0,"not_bad","44",0
"96",0,"not_bad","45",0
"97",0,"not_bad","46",0
