"subid","goal","true_state","utterance"
"2","both","0","not_terrible"
"2","both","1","yes_good"
"2","both","2","yes_good"
"2","both","3","yes_amazing"
"2","social","0","yes_amazing"
"2","social","1","yes_amazing"
"2","social","2","yes_amazing"
"2","social","3","yes_amazing"
"2","informative","0","yes_terrible"
"2","informative","1","yes_bad"
"2","informative","2","yes_good"
"2","informative","3","yes_amazing"
"5","both","3","yes_amazing"
"5","both","1","not_terrible"
"5","both","2","yes_good"
"5","both","0","not_good"
"5","social","3","yes_good"
"5","social","1","yes_good"
"5","social","2","yes_good"
"5","social","0","not_terrible"
"5","informative","3","yes_amazing"
"5","informative","1","not_bad"
"5","informative","2","yes_good"
"5","informative","0","yes_terrible"
"11","informative","2","yes_good"
"11","informative","3","yes_amazing"
"11","informative","1","not_good"
"11","informative","0","yes_bad"
"11","social","2","yes_amazing"
"11","social","3","yes_amazing"
"11","social","1","yes_good"
"11","social","0","yes_good"
"11","both","2","yes_good"
"11","both","3","yes_amazing"
"11","both","1","not_bad"
"11","both","0","not_terrible"
"16","both","0","not_terrible"
"16","both","3","yes_amazing"
"16","both","1","not_bad"
"16","both","2","yes_good"
"16","social","0","yes_good"
"16","social","3","yes_amazing"
"16","social","1","yes_good"
"16","social","2","yes_amazing"
"16","informative","0","not_good"
"16","informative","3","yes_amazing"
"16","informative","1","not_bad"
"16","informative","2","yes_good"
"21","informative","3","yes_good"
"21","informative","1","not_good"
"21","informative","0","yes_terrible"
"21","informative","2","yes_good"
"21","social","3","yes_amazing"
"21","social","1","not_terrible"
"21","social","0","not_terrible"
"21","social","2","yes_good"
"21","both","3","yes_amazing"
"21","both","1","yes_bad"
"21","both","0","yes_terrible"
"21","both","2","yes_good"
"28","both","1","yes_good"
"28","both","0","yes_good"
"28","both","2","yes_good"
"28","both","3","yes_amazing"
"28","informative","1","yes_good"
"28","informative","0","yes_good"
"28","informative","2","yes_good"
"28","informative","3","yes_amazing"
"28","social","1","yes_good"
"28","social","0","yes_good"
"28","social","2","yes_good"
"28","social","3","yes_amazing"
"31","informative","2","yes_good"
"31","informative","0","yes_terrible"
"31","informative","3","yes_amazing"
"31","informative","1","yes_bad"
"31","social","2","yes_amazing"
"31","social","0","yes_good"
"31","social","3","yes_amazing"
"31","social","1","yes_good"
"31","both","2","yes_good"
"31","both","0","not_bad"
"31","both","3","yes_amazing"
"31","both","1","not_terrible"
"34","social","2","yes_good"
"34","social","3","yes_amazing"
"34","social","1","yes_bad"
"34","social","0","yes_terrible"
"34","both","2","yes_good"
"34","both","3","yes_amazing"
"34","both","1","not_good"
"34","both","0","yes_terrible"
"34","informative","2","yes_bad"
"34","informative","3","yes_amazing"
"34","informative","1","not_good"
"34","informative","0","yes_terrible"
"36","informative","1","not_amazing"
"36","informative","3","yes_amazing"
"36","informative","2","yes_good"
"36","informative","0","yes_terrible"
"36","both","1","not_good"
"36","both","3","yes_amazing"
"36","both","2","yes_good"
"36","both","0","not_amazing"
"36","social","1","yes_good"
"36","social","3","yes_amazing"
"36","social","2","yes_good"
"36","social","0","not_terrible"
"45","informative","1","yes_bad"
"45","informative","2","yes_good"
"45","informative","0","yes_terrible"
"45","informative","3","yes_amazing"
"45","social","1","not_good"
"45","social","2","yes_good"
"45","social","0","not_amazing"
"45","social","3","yes_amazing"
"45","both","1","not_terrible"
"45","both","2","yes_good"
"45","both","0","not_amazing"
"45","both","3","yes_amazing"
"47","social","1","yes_good"
"47","social","2","yes_amazing"
"47","social","3","yes_amazing"
"47","social","0","not_bad"
"47","both","1","not_terrible"
"47","both","2","yes_good"
"47","both","3","yes_amazing"
"47","both","0","not_terrible"
"47","informative","1","not_bad"
"47","informative","2","yes_good"
"47","informative","3","yes_amazing"
"47","informative","0","yes_terrible"
"48","informative","0","yes_good"
"48","informative","2","yes_good"
"48","informative","1","yes_bad"
"48","informative","3","yes_amazing"
"48","social","0","yes_amazing"
"48","social","2","yes_amazing"
"48","social","1","yes_good"
"48","social","3","yes_amazing"
"48","both","0","not_bad"
"48","both","2","yes_good"
"48","both","1","not_bad"
"48","both","3","yes_amazing"
"49","both","2","yes_amazing"
"49","both","1","not_bad"
"49","both","0","yes_bad"
"49","both","3","yes_amazing"
"49","informative","2","yes_good"
"49","informative","1","not_bad"
"49","informative","0","yes_terrible"
"49","informative","3","yes_amazing"
"49","social","2","yes_good"
"49","social","1","not_terrible"
"49","social","0","yes_terrible"
"49","social","3","yes_amazing"
"54","social","1","yes_amazing"
"54","social","2","yes_amazing"
"54","social","0","yes_amazing"
"54","social","3","yes_amazing"
"54","both","1","not_terrible"
"54","both","2","yes_good"
"54","both","0","yes_bad"
"54","both","3","yes_amazing"
"54","informative","1","yes_bad"
"54","informative","2","yes_good"
"54","informative","0","yes_terrible"
"54","informative","3","yes_amazing"
"55","both","1","not_amazing"
"55","both","3","yes_amazing"
"55","both","0","not_amazing"
"55","both","2","yes_good"
"55","informative","1","not_good"
"55","informative","3","yes_amazing"
"55","informative","0","yes_terrible"
"55","informative","2","yes_good"
"55","social","1","yes_good"
"55","social","3","yes_amazing"
"55","social","0","yes_good"
"55","social","2","yes_amazing"
"64","both","2","yes_good"
"64","both","3","yes_amazing"
"64","both","1","not_bad"
"64","both","0","not_terrible"
"64","informative","2","yes_good"
"64","informative","3","yes_amazing"
"64","informative","1","not_bad"
"64","informative","0","yes_bad"
"64","social","2","yes_good"
"64","social","3","yes_amazing"
"64","social","1","yes_bad"
"64","social","0","not_terrible"
"65","social","0","yes_good"
"65","social","3","yes_amazing"
"65","social","2","yes_good"
"65","social","1","not_amazing"
"65","informative","0","yes_bad"
"65","informative","3","yes_amazing"
"65","informative","2","yes_good"
"65","informative","1","not_terrible"
"65","both","0","not_terrible"
"65","both","3","yes_amazing"
"65","both","2","yes_good"
"65","both","1","not_bad"
"69","both","0","not_terrible"
"69","both","2","yes_good"
"69","both","3","yes_amazing"
"69","both","1","not_terrible"
"69","social","0","yes_good"
"69","social","2","yes_amazing"
"69","social","3","yes_amazing"
"69","social","1","yes_good"
"69","informative","0","yes_terrible"
"69","informative","2","yes_good"
"69","informative","3","yes_amazing"
"69","informative","1","not_terrible"
"72","informative","2","yes_good"
"72","informative","3","yes_amazing"
"72","informative","1","not_amazing"
"72","informative","0","yes_terrible"
"72","social","2","yes_good"
"72","social","3","yes_amazing"
"72","social","1","yes_good"
"72","social","0","not_terrible"
"72","both","2","yes_good"
"72","both","3","yes_amazing"
"72","both","1","not_amazing"
